corredores.id-corredor,corredores.ageGroup,corredores.fullname,corredores.uri,corredores.nationality,corredores.sex,corredores.Club,corredores.Team,corredores.Sponsor(s),corredores.Description,corredores.Geral,corredores.20K,corredores.50K,corredores.100K,corredores.100m
4875063,40-44,Erica Sonia FERN�NDES DE ALMEIDA SILVA,4875063.ericasonia.fernandesdealmeidasilva,BR,F,,,,,372,373,358,,
5224737,20-34,Joao COLOSOSCHI,5224737.joao.colososchi,BR,H,,,,,553,545,553,,
5320749,20-34,Victor QUARTIERO,5320749.victor.quartiero,BR,H,,,,,383,384,,,
5346213,20-34,Isabela CARITA,5346213.isabela.carita,BR,F,,,,,374,376,,,
5471129,60-64,Ademar MANTOVANI,5471129.ademar.mantovani,BR,H,,,,,334,336,,,
5482851,40-44,Juliana DA SILVA,5482851.juliana.dasilva,BR,F,,,,,354,355,,,
5502283,40-44,Daleska Mayara DE ALCANTARA AUGUSTO JACOPI,5502283.daleskamayara.dealcantaraaugustojacopi,BR,F,,,,,397,398,,,
5690365,35-39,Bruna BORGES CARVALHO,5690365.bruna.borgescarvalho,BR,F,,,,,386,388,,,
4445138,35-39,Pedro DEMARCHI,4445138.pedro.demarchi,BR,H,,,,,688,607,687,,
5902944,45-49,Maikel COLLI,5902944.maikel.colli,BR,H,,,,,483,485,,,
3868547,40-44,Henrique DI LORENZO PIRES,3868547.henrique.dilorenzopires,BR,H,,,,,598,600,581,536,
5879034,35-39,Luiz Vinicius IZIDORIO VIDAL,5879034.luizvinicius.izidoriovidal,BR,H,,,,,478,480,,,
395544,35-39,Fabio REIS,395544.fabio.reis,BR,H,,,,,624,,624,478,
5739050,45-49,G�rson FARIA,5739050.gerson.faria,BR,H,,,,,586,588,,,
1563571,40-44,Luciana ALVES BATISTA,1563571.luciana.alvesbatista,BR,F,,,,,487,,412,487,424
543503,55-59,Denilson CORREA-DOS SANTOS,543503.denilson.correadossantos,BR,H,,,,,395,396,,,
763996,50-54,Diego LOPEZ,763996.diego.lopez,BR,H,,,,,433,435,,,
894441,50-54,Moises CRUZ,894441.moises.cruz,BR,H,,,,,557,539,557,,
894453,35-39,Andr� GARUPE,894453.andre.garupe,BR,H,,,,,454,455,,,
1571385,45-49,Patricia CASTILHO,1571385.patricia.castilho,BR,F,,,,,363,363,,,
1735333,70-74,Maria DE FATIMA PESSOA DE SOUSA,1735333.maria.defatimapessoadesousa,BR,F,,,,,337,336,296,,
1776425,55-59,Lucia SOARES,1776425.lucia.soares,BR,F,,,,,358,357,339,,
2432599,20-34,Rafael FERREIRA,2432599.rafael.ferreira,BR,H,,,,,616,616,,,
2532529,35-39,Edson MATEUS CORNELIO,2532529.edson.mateuscornelio,BR,H,,,,,494,495,,,
2532533,45-49,Marcos DE LIMA PONTIM,2532533.marcos.delimapontim,BR,H,,,,,440,439,,,
2608021,40-44,Eloi DRANKA JUNIOR,2608021.eloi.drankajunior,BR,H,,,,,544,546,,,
3531515,35-39,Fabricio MARCONDES SIMAO,3531515.fabricio.marcondessimao,BR,H,,,,,535,537,,,
3685179,40-44,Luiz CESAR SOUSA NILO MENDES,3685179.luiz.cesarsousanilomendes,BR,H,,,,,459,457,,,
3685213,55-59,Soraya ROMANELLI PINTO CARVALHO,3685213.soraya.romanellipintocarvalho,BR,F,,,,,264,263,,,
3834539,65-69,Carlos CESAR DOS SANTOS,3834539.carlos.cesardossantos,BR,H,,,,,432,433,,,
3834563,40-44,Marcia CRISTINA CASTELLI,3834563.marcia.cristinacastelli,BR,F,,,,,423,422,,,
4105011,40-44,Marco LEMES SIMOES,4105011.marco.lemessimoes,BR,H,,,,,591,589,,,
4105056,20-34,Rafael TORRES DA SILVA,4105056.rafael.torresdasilva,BR,H,,,,,405,407,,,
4105070,20-34,Alice KATO DE ALMEIDA,4105070.alice.katodealmeida,BR,F,,,,,384,385,,,
4332530,40-44,Jarbas COELHO NETO,4332530.jarbas.coelhoneto,BR,H,,,,,452,451,,,
4395440,35-39,Rafael DA COSTA CARVALHO,4395440.rafael.dacostacarvalho,BR,H,,,,,499,501,397,,
4395518,40-44,Adriano CARDOZO,4395518.adriano.cardozo,BR,H,,,,,544,543,,,
4513402,20-34,Camila APARECIDA DA SILVA ARDITO,4513402.camila.aparecidadasilvaardito,BR,F,,,,,462,396,463,,
4619140,70-74,Ildene PAVAO RAMOS,4619140.ildene.pavaoramos,BR,F,,,,,355,354,320,,
4914351,20-34,Esther HWANG,4914351.esther.hwang,BR,F,,,,,432,433,,,
4914515,60-64,Carlos Eduardo CAVALCANTI,4914515.carloseduardo.cavalcanti,BR,H,,MLMixRun,,,468,466,,,
4915381,60-64,Luis Marcelo MOTA LIMA,4915381.luismarcelo.motalima,BR,H,,,,,384,382,372,,
4986690,55-59,Monica GOMES ALVES,4986690.monica.gomesalves,BR,F,,,,,372,373,296,,
4986814,20-34,Marcello ESCUDEIRO ZANARDO,4986814.marcello.escudeirozanardo,BR,H,,,,,563,566,,,
4986824,20-34,Lenon C�SAR GON�ALVES,4986824.lenon.cesargoncalves,BR,H,,,,,516,517,,,
4986868,60-64,Iran RODRIGUES DE OLIVEIRA,4986868.iran.rodriguesdeoliveira,BR,H,,,,,416,417,,,
4986892,60-64,Neusa RODRIGUES DE ARA�JO,4986892.neusa.rodriguesdearaujo,BR,F,,,,,357,358,,,
4986894,40-44,Renata ORTIZ,4986894.renata.ortiz,BR,F,,,,,379,380,,,
4986914,55-59,Angelica MEGUMI SEKITANI ALVES DE OLIVEIRA,4986914.angelica.megumisekitanialvesdeoliveira,BR,F,,,,,230,231,,,
5340426,65-69,Ivan LOPES FONSECA,5340426.ivan.lopesfonseca,BR,H,,,,,425,426,,,
5417736,20-34,Felipe DA SILVA SANTIAGO,5417736.felipe.dasilvasantiago,BR,H,,,,,435,437,,,
5516728,45-49,Nicolle NOWAKOWSKI,5516728.nicolle.nowakowski,BR,F,,,,,254,255,,,
5732320,35-39,David OLIVEIRA,5732320.david.oliveira,BR,H,,,,,568,570,,,
5732350,40-44,Antonio AIRES COUTO JUNIOR,5732350.antonio.airescoutojunior,BR,H,,,,,405,407,,,
5911120,40-44,Ramos Cuba NATANAEL,5911120.ramoscuba.natanael,BR,H,,,,,601,603,,,
5911124,20-34,Marcelo Da Fonseca JOAO,5911124.marcelodafonseca.joao,BR,H,,,,,534,536,,,
5911126,20-34,Siconha ALEXANDRE,5911126.siconha.alexandre,BR,H,,,,,527,529,,,
5911128,U20,Gabriel Santos Ribeiro CAIO,5911128.gabrielsantosribeiro.caio,BR,H,,,,,522,525,,,
5911130,U18,De Castro Orlando Da Costa MATHEUS,5911130.decastroorlandodacosta.matheus,BR,H,,,,,487,489,,,
5911132,35-39,Marcio Lucio De Sousa HANKEL,5911132.marcioluciodesousa.hankel,BR,H,,,,,455,457,,,
5911134,20-34,Menegale Canela Monteiro MAITE,5911134.menegalecanelamonteiro.maite,BR,F,,,,,454,456,,,
5911138,35-39,De Castro Sampaio TAIGUARA,5911138.decastrosampaio.taiguara,BR,H,,,,,431,433,,,
5911144,65-69,Antonio Do Rio Nascimento CARLOS,5911144.antoniodorionascimento.carlos,BR,H,,,,,429,430,,,
5911146,45-49,Mizuta Matsutani SILVIA,5911146.mizutamatsutani.silvia,BR,F,,,,,425,427,,,
5911148,55-59,Carlos Da Silva MANOEL,5911148.carlosdasilva.manoel,BR,H,,,,,417,419,,,
5911150,35-39,Luiz Machado De Souza GUSTAVO,5911150.luizmachadodesouza.gustavo,BR,H,,,,,416,418,,,
5911154,60-64,Carlos Da Silva ANT�NIO,5911154.carlosdasilva.antonio,BR,H,,,,,401,403,,,
5911156,20-34,Faria Da Silva CLAYTON,5911156.fariadasilva.clayton,BR,H,,,,,398,399,,,
5911158,35-39,Romano Sanchez NATALIA,5911158.romanosanchez.natalia,BR,F,,,,,397,399,,,
5911160,35-39,Cesar Lima De Oliveira CAIO,5911160.cesarlimadeoliveira.caio,BR,H,,,,,393,394,,,
5911162,50-54,Cristina De Jesus Ramos Ribeiro MIRIAM,5911162.cristinadejesusramosribeiro.miriam,BR,F,,,,,391,392,,,
5911164,U18,De Castro Orlando Da Costa DANNIEL,5911164.decastroorlandodacosta.danniel,BR,H,,,,,386,387,,,
5911166,45-49,Silva Magalh�es WANDA,5911166.silvamagalhaes.wanda,BR,F,,,,,386,387,,,
5911168,50-54,Luis Lais JOSE,5911168.luislais.jose,BR,H,,,,,367,368,,,
5911170,40-44,Carvalho Nogueira NATHALIA,5911170.carvalhonogueira.nathalia,BR,F,,,,,358,359,,,
5911172,35-39,Miguel Siqueira Viana PAULA,5911172.miguelsiqueiraviana.paula,BR,F,,,,,357,359,,,
5911174,50-54,Antonio Salgado Guida FELICIO,5911174.antoniosalgadoguida.felicio,BR,H,,,,,356,358,,,
5911176,40-44,Noronha Vaz De Melo CLAUDIO,5911176.noronhavazdemelo.claudio,BR,H,,,,,356,357,,,
5911180,45-49,De Oliveira Rufino Owerney VALDENORA,5911180.deoliveirarufinoowerney.valdenora,BR,F,,,,,350,352,,,
5911182,45-49,Daldin LUIZ,5911182.daldin.luiz,BR,H,,,,,347,348,,,
5911184,40-44,De Souza Meireles Pinheiro MOEMA,5911184.desouzameirelespinheiro.moema,BR,F,,,,,346,347,,,
5911186,45-49,Henrique Pinheiro FABIO,5911186.henriquepinheiro.fabio,BR,H,,,,,346,347,,,
5911188,20-34,Henrique De Andrade Pereira PEDRO,5911188.henriquedeandradepereira.pedro,BR,H,,,,,345,347,,,
5911190,60-64,Lucia Fernandes Silva DALVA,5911190.luciafernandessilva.dalva,BR,F,,,,,345,346,,,
5911192,50-54,Godano Schlodtmann PATRICIA,5911192.godanoschlodtmann.patricia,BR,F,,,,,345,346,,,
5911194,60-64,Francisco Frazatto CARLOS,5911194.franciscofrazatto.carlos,BR,H,,,,,344,346,,,
5911196,20-34,Siqueira Gon�alves GABRIEL,5911196.siqueiragoncalves.gabriel,BR,H,,,,,333,335,,,
5911198,45-49,Froes De Sousa FABIANA,5911198.froesdesousa.fabiana,BR,F,,,,,333,334,,,
5911200,50-54,Moreira Dos Santos VANIA,5911200.moreiradossantos.vania,BR,F,,,,,330,332,,,
5911202,40-44,Fernandes De Almeida Moura EUGENIA,5911202.fernandesdealmeidamoura.eugenia,BR,F,,,,,326,328,,,
5911204,50-54,Rodrigues De �vila WAGNER,5911204.rodriguesdeavila.wagner,BR,H,,,,,325,326,,,
5911206,40-44,Cristina Da Silva ERIKA,5911206.cristinadasilva.erika,BR,F,,,,,319,320,,,
5911208,20-34,Lumy Matsutani THAMIRES,5911208.lumymatsutani.thamires,BR,F,,,,,310,311,,,
5911210,40-44,Dantas Turvollo F�BIO,5911210.dantasturvollo.fabio,BR,H,,,,,310,311,,,
5911212,45-49,De Souza ELISEU,5911212.desouza.eliseu,BR,H,,,,,310,311,,,
5911214,35-39,Aguiar Hungria Da Silva JEFERSON,5911214.aguiarhungriadasilva.jeferson,BR,H,,,,,293,294,,,
5911216,U18,Tunis Tapie Baccari PIETRA,5911216.tunistapiebaccari.pietra,BR,F,,,,,290,291,,,
5911220,20-34,Campos Vaz Domingues MARINA,5911220.camposvazdomingues.marina,BR,F,,,,,265,266,,,
5911222,45-49,Ferreira Campos DANIELA,5911222.ferreiracampos.daniela,BR,F,,,,,261,262,,,
5911224,50-54,Da Silva Andrade ITALO,5911224.dasilvaandrade.italo,BR,H,,,,,254,255,,,
5911226,35-39,Lima De Santana YARA,5911226.limadesantana.yara,BR,F,,,,,249,250,,,
5911228,20-34,Da Silva Andrade ITALO,5911228.dasilvaandrade.italo,BR,H,,,,,218,219,,,
5911230,45-49,L�cia Martinho Ferreira M�RCIA,5911230.luciamartinhoferreira.marcia,BR,F,,,,,209,210,,,
5911232,45-49,Jos� Do Nascimento RONDNEY,5911232.josedonascimento.rondney,BR,H,,,,,209,210,,,
5911234,40-44,De Souza Franco VANIA,5911234.desouzafranco.vania,BR,F,,,,,169,169,,,
5911236,20-34,Anjos TAYNA,5911236.anjos.tayna,BR,F,,,,,169,169,,,
5911238,35-39,Aparecida Hungria Da Silva VANESSA,5911238.aparecidahungriadasilva.vanessa,BR,F,,,,,168,169,,,
231666,55-59,Andre GUARISCHI,231666.andre.guarischi,BR,H,,,,,404,406,,,
395628,50-54,Luciana ARAGAO,395628.luciana.aragao,BR,F,,,,,328,330,,,
655090,55-59,Francisco MACIEL,655090.francisco.maciel,BR,H,,,,,610,609,,,
823642,45-49,Alexander GREIF,823642.alexander.greif,BR,F,,,,,503,505,,,
1390187,60-64,Osmar TAVARES,1390187.osmar.tavares,BR,H,Academia Gandhi ,G&D RUNNERS ,GANDHI ACADEMIA ,,428,427,361,,
1917993,50-54,Lenilson VEIGA MATTOS,1917993.lenilson.veigamattos,BR,H,,,,,462,462,,,
1920043,45-49,Danielle SORRILHA BASTOS,1920043.danielle.sorrilhabastos,BR,F,,,,,336,335,,,
2193761,65-69,Ricardo HUANG,2193761.ricardo.huang,BR,H,,,,,319,252,319,308,
2432329,55-59,Carla MORAES,2432329.carla.moraes,BR,F,,,,,382,381,,,
2532593,50-54,Leandro RIBEIRO (Leandro GUIMARAES RIBEIRO),2532593.leandro.guimaraesribeiro,BR,H,,,,,431,430,,,318
2611497,55-59,Ricardo HALAH,2611497.ricardo.halah,BR,H,,,My self,,411,413,,,
2611593,50-54,Fernanda HALAH,2611593.fernanda.halah,BR,F,,,,,411,413,,,
2687475,40-44,Armando JONAS DOS SANTOS,2687475.armando.jonasdossantos,BR,H,,,,,418,419,,,
3073319,60-64,Sandra REGINA BARBOSA DA LUZ,3073319.sandra.reginabarbosadaluz,BR,F,,,,,297,298,,,
3258841,20-34,Tales ELIAS DOS SANTOS,3258841.tales.eliasdossantos,BR,H,,,,,412,413,,,
3503559,65-69,Jonas GOMES DE OLIVEIRA,3503559.jonas.gomesdeoliveira,BR,H,,,,,436,435,,,
3685161,40-44,Andr� FONSECA TAVARES,3685161.andre.fonsecatavares,BR,H,,,,,560,558,518,,
3685227,55-59,Lucivandi DA SILVA RAMOS,3685227.lucivandi.dasilvaramos,BR,H,,,,,486,488,,,
3834597,20-34,Jonathas GUEDES DA SILVA,3834597.jonathas.guedesdasilva,BR,H,,,,,668,669,,,
4087042,45-49,Leandro SILVA DE SOUZA,4087042.leandro.silvadesouza,BR,H,,,,,559,531,,557,
4087070,40-44,Alexandre DE OLIVEIRA DINIZ,4087070.alexandre.deoliveiradiniz,BR,H,,,,,521,522,478,,
4105048,35-39,Adriano BORGES LUCKE,4105048.adriano.borgeslucke,BR,H,,TRIBUS Trail Runners ,,,538,540,512,,
4333734,50-54,Paula CRISTINA RODRIGUES OLIVEIRA,4333734.paula.cristinarodriguesoliveira,BR,F,,,,,248,248,,,
4333740,55-59,M�rcio ANDR� DE MEDEIROS OLIVEIRA,4333740.marcio.andredemedeirosoliveira,BR,H,,,,,248,247,,,
4333750,50-54,Emerson FERREIRA DE ANDRADE,4333750.emerson.ferreiradeandrade,BR,H,,,,,556,558,,,
4395490,20-34,Priscila ALVES,4395490.priscila.alves,BR,F,,,,,362,363,,,
4395510,20-34,Caique FIRMINO MARINS,4395510.caique.firminomarins,BR,H,,,,,647,647,,,
4395514,45-49,Jos� ANDR� DOS SANTOS,4395514.jose.andredossantos,BR,H,,,,,593,592,,,
4401282,35-39,Amanda CAROLINA LIBANEO,4401282.amanda.carolinalibaneo,BR,F,,,,,405,405,401,,
4772888,40-44,Bruna LOPES NAKAMICHI SEKITANI,4772888.bruna.lopesnakamichisekitani,BR,F,,,,,305,306,,,
4816568,20-34,Caio ANDRADE,4816568.caio.andrade,BR,H,,,,,522,524,,,
4855922,40-44,Matheus MOREIRA,4855922.matheus.moreira,BR,H,,,,,532,530,,,
4939910,45-49,Evanio AUR�LIO RIBEIRO,4939910.evanio.aurelioribeiro,BR,H,,,,,520,518,,,
4986538,40-44,Leonardo WAGNER CAETANO,4986538.leonardo.wagnercaetano,BR,H,,,,,666,667,602,,
4986738,20-34,Lisandra MARIA ALVES MATOS,4986738.lisandra.mariaalvesmatos,BR,F,,,,,407,406,,,
5417732,50-54,Claudia ALEXANDRA DE OLIVEIRA,5417732.claudia.alexandradeoliveira,BR,F,,,,,419,420,,,
5638608,35-39,Rui CERRI MAIO FILHO,5638608.rui.cerrimaiofilho,BR,H,,,,,475,477,,,
5911242,35-39,Samuel DE PAULA,5911242.samuel.depaula,BR,H,,,,,551,553,,,
5911244,35-39,Rafael ALVARENGA FARIA,5911244.rafael.alvarengafaria,BR,H,,,,,530,532,,,
5911248,40-44,Jefferson CELESTINO DOS SANTOS,5911248.jefferson.celestinodossantos,BR,H,,,,,519,521,,,
5911252,20-34,Jose AUGUSTO VIEIRA DE MARINS,5911252.jose.augustovieirademarins,BR,H,,,,,504,506,,,
5911254,55-59,Ana CARLA OSORIO,5911254.ana.carlaosorio,BR,F,,,,,502,504,,,
5911256,40-44,Fabr�cio ABDO SILVA,5911256.fabricio.abdosilva,BR,H,,,,,483,485,,,
5911260,35-39,Rebeka OPPITZ,5911260.rebeka.oppitz,BR,F,,,,,438,439,,,
5911264,20-34,Abner MENDES PEREIRA,5911264.abner.mendespereira,BR,H,,,,,420,422,,,
5911266,40-44,Pedro TUNHOLI,5911266.pedro.tunholi,BR,H,,,,,416,418,,,
5911270,20-34,Pedro HENRIQUE RODRIGUES PEREIRA,5911270.pedro.henriquerodriguespereira,BR,H,,,,,397,398,,,
5911272,45-49,Nelson FL�VIO BETIM,5911272.nelson.flaviobetim,BR,H,,,,,385,387,,,
5911274,45-49,Cleverson FABER DE ASSIS,5911274.cleverson.faberdeassis,BR,H,,,,,379,380,,,
5911276,20-34,Leonardo VELOSO ARTUSI,5911276.leonardo.velosoartusi,BR,H,,,,,376,377,,,
5911278,40-44,Leonardo GARCIA,5911278.leonardo.garcia,BR,H,,,,,375,377,,,
5911280,45-49,Rubens OLIVEIRA GUIMARAES,5911280.rubens.oliveiraguimaraes,BR,H,,,,,369,370,,,
5911282,35-39,Heloisa MOTA DA SILVA,5911282.heloisa.motadasilva,BR,F,,,,,363,364,,,
5911284,40-44,Daniel FIGUEREDO SAULLO,5911284.daniel.figueredosaullo,BR,H,,,,,362,363,,,
5911286,50-54,K�tia VAL�RIA BASTOS DIAS BARBOSA,5911286.katia.valeriabastosdiasbarbosa,BR,F,,,,,355,356,,,
5911288,50-54,Jo�o CLAUDIO FRANZONI BARBOSA,5911288.joao.claudiofranzonibarbosa,BR,H,,,,,354,356,,,
5911290,65-69,Jose SABINO DE SOUZA,5911290.jose.sabinodesouza,BR,H,,,,,342,344,,,
5911294,70-74,Helio CALDAS DA SILVA,5911294.helio.caldasdasilva,BR,H,,,,,327,328,,,
5911296,20-34,Fernando CARLETTE JUNGERS,5911296.fernando.carlettejungers,BR,H,,,,,324,325,,,
5911300,60-64,Jose CARLOS ESBRISSA,5911300.jose.carlosesbrissa,BR,H,,,,,314,315,,,
5911302,20-34,Aurea LUANA DA COSTA FORTUNATO DE JESUS,5911302.aurea.luanadacostafortunatodejesus,BR,F,,,,,312,313,,,
5911304,40-44,Flavio ROBERTO FERREIRA MENDES,5911304.flavio.robertoferreiramendes,BR,H,,,,,302,304,,,
5911308,U18,Marcela RODRIGUES OLIVEIRA,5911308.marcela.rodriguesoliveira,BR,F,,,,,240,241,,,
5911310,20-34,Marcio ANDR� DE MEDEIROS OLIVEIRA JUNIOR,5911310.marcio.andredemedeirosoliveirajunior,BR,H,,,,,240,241,,,
5911312,U20,Maria EDUARDA RODRIGUES OLIVEIRA,5911312.maria.eduardarodriguesoliveira,BR,F,,,,,234,235,,,
5911314,20-34,Maria JULIA DE SOUZA LOPES,5911314.maria.juliadesouzalopes,BR,F,,,,,234,235,,,
5911318,45-49,Fl�vio LIMA DOS SANTOS,5911318.flavio.limadossantos,BR,H,,,,,226,227,,,
5911320,40-44,Ana CAMILA MIRANDA ELLERES,5911320.ana.camilamirandaelleres,BR,F,,,,,213,214,,,
75607,40-44,Karine PARUSSOLO,75607.karine.parussolo,BR,F,JVM Trail Run,,,,434,401,433,371,
401412,45-49,Rosalia GUARISCHI,401412.rosalia.guarischi,BR,F,,,,,565,,563,532,525
694397,45-49,Lourival NOVAIS RUAS,694397.lourival.novaisruas,BR,H,,,,,594,,529,595,
754577,50-54,Flavio MATSUHASHI,754577.flavio.matsuhashi,BR,H,BRTS,BIRUTAS DO TRAIL - BRTS,,,571,,572,,
764009,65-69,Carlos HUANG,764009.carlos.huang,BR,H,,,,,341,,341,,
804206,55-59,Le�nidas RIBEIRO,804206.leonidas.ribeiro,BR,H,,,,,455,,451,449,416
894469,45-49,Carlos MELLO,894469.carlos.mello,BR,H,,,,,438,,440,,
971361,40-44,Tiago BARBIERATO,971361.tiago.barbierato,BR,H,,BRTSTRAIL,Mysafe Sports,,521,,519,499,489
1139143,40-44,Diego Brunno CARDOSO DE SOUZA,1139143.diegobrunno.cardosodesouza,BR,H,,,,,645,608,623,643,
1736439,45-49,Karina FERREIRA ALMEIDA,1736439.karina.ferreiraalmeida,BR,F,,,,,466,,467,,
1776063,20-34,Mateus DE OLIVEIRA COHEN,1776063.mateus.deoliveiracohen,BR,H,,,,,528,,530,483,
1780605,50-54,Cidilandia ROCHA PASCHOAL DAVILA,1780605.cidilandia.rochapaschoaldavila,BR,F,,,,,362,,363,,316
1801367,60-64,Airton DA SILVA,1801367.airton.dasilva,BR,H,,,,,406,406,382,,
1836129,45-49,Silvio Henrique ROCHA,1836129.silviohenrique.rocha,BR,H,,,,,578,,533,577,523
1836233,45-49,Cristiane MACHADO,1836233.cristiane.machado,BR,F,,,,,449,,450,,406
2041281,45-49,Carlos EDUARDO,2041281.carlos.eduardo,BR,H,,,,,544,,545,,
2071217,50-54,Marcos DE MEDEIROS,2071217.marcos.demedeiros,BR,H,,,,,379,362,376,,
2178263,50-54,Alvibar MOREIRA,2178263.alvibar.moreira,BR,H,,,,,421,,423,,
2432333,55-59,Claudio BRAGA,2432333.claudio.braga,BR,H,,,,,356,353,346,,
2475675,50-54,Sidnei SOUSA LOURO,2475675.sidnei.sousalouro,BR,H,,,,,356,,357,,
2532583,45-49,Antonio JOS� DOS SANTOS,2532583.antonio.josedossantos,BR,H,,,,,559,551,556,,
2532589,40-44,Leandro FERNANDES GON�ALVES,2532589.leandro.fernandesgoncalves,BR,H,,,,,687,676,672,,
2532607,45-49,Flavio PROCACI MORAES,2532607.flavio.procacimoraes,BR,H,,,,,505,,489,503,
2611519,50-54,Albert DAMI�O S� DOS SANTOS,2611519.albert.damiaosadossantos,BR,H,,,,,427,426,385,,
2611539,55-59,Jose FRANCISCO DE PAULA,2611539.jose.franciscodepaula,BR,H,,,,,452,452,411,,
2611559,50-54,Claudio DE PAULA,2611559.claudio.depaula,BR,H,,,,,581,581,545,,
2687521,40-44,Amabile CECILIA PEREIRA,2687521.amabile.ceciliapereira,BR,F,,,,,387,313,388,,
3303785,35-39,Eliaquim MENDES PAQUIEL DE SA,3303785.eliaquim.mendespaquieldesa,BR,H,,,,,438,,439,391,
